Check,Title,Level,Benchmark assessment status,Decision,Class,What we implement,Why,How,Not covered
5.1.1,Tool schemas and argument types are validated,L1,Automated,Decidable except the schema-violating call,ToolSchemaValidation,"That every advertised tool declares an input schema, that the schema compiles under the JSON Schema dialect it declares, and that any declared output schema compiles the same way.","A tool's schema is published in tools/list, so any client can compile it. A schema that does not compile cannot be enforced by the server either.","Each schema is compiled under the dialect its $schema names, and a schema declaring an unrecognised dialect is reported rather than graded under a default. Delegating to the library's own dialect lookup would silently grade a schema under the newest draft it never declared. Output schemas are compiled unconditionally. A separate walk reports any $ref carrying a URI scheme, which compilation accepts in silence.","That a schema-violating call is actually refused. Proving it needs a tool that is safe to call with bad arguments, which only the operator can name, so that leg records UNKNOWN without one."
5.1.2,Resource templates with explicit URI patterns and MIME types are used,L1,Automated,Decidable,ResourceTemplateDeclarations,"That every advertised resource template declares a URI pattern and a MIME type, and that a read of a non-existent resource built from a real template is refused.","Both properties are published, so a client sees them directly. A template with no MIME type leaves a consumer guessing how to render what it fetches.","Templates are read from resources/templates/list. The refusal leg substitutes an implausible value into an advertised template, then requires an error. It reads a real resource first as a positive control: without one, a refusal cannot be attributed to existence checking rather than to the server refusing reads generally.","Whether the template constrains what the server will actually serve. Substitution ordering is server-internal. The approved-namespace and nosniff requirements depend on deployment intent this probe cannot read, and the recommendation states both as a stricter posture than the specification."
5.1.3,Prompt templates declare and validate their arguments,L1,Automated,Decidable,PromptArgumentDeclarations,"That every advertised prompt declares well-formed arguments, and that an unknown prompt name and a missing required argument are both refused.",The declaration is published and the two refusals are observable. A prompt that accepts a missing required argument is not validating what it declares.,"The declarations are read from a raw prompts/list rather than through the SDK. The SDK coerces a non-boolean required field to a boolean, so the SDK path would report a pass on exactly the malformed declaration this check looks for.","Whether prompt logic runs only on an explicit prompts/get, and whether each invocation records the prompt name. Neither is visible to a client."
5.2.1,listChanged notifications are rate-limited to prevent client flooding,L2,Automated,NOT_APPLICABLE,ListChangedRateLimit,Nothing. Reports NOT_APPLICABLE with the reason recorded as evidence.,"Two blockers, either sufficient. The emission rate over time is visible only in the server's own log, and no external client can provoke a list change, so even a held-open stream would have nothing to time. The minimum interval is itself an operator choice the specification does not define, so there is no protocol default to measure against.",Not probed.,The whole recommendation.
5.2.2,Sessions are not used as authentication and are bound to user identity,L1,Manual,NOT_APPLICABLE,SessionIsNotAuthentication,Nothing. Reports NOT_APPLICABLE with the reason recorded as evidence.,"The wire half needs a handle captured from an authorized session and a tool that accepts one as an argument. The recommendation is explicit that the handle is an application value rather than a protocol field, so nothing observable names such a tool.",Not probed.,"The whole recommendation. The adjacent property, an unauthenticated request reaching a response, is already decided by check 2.3, so no coverage is lost here."
5.2.3,Legacy Streamable HTTP session and stream-resumption mechanisms are disabled,L1,Automated,Decidable on 2026-07-28 only,LegacySessionSurfaceDisabled,"That the removed legacy surface is gone: a standalone GET stream, a DELETE session teardown, stream resumption by Last-Event-ID, and a server-minted or client-supplied session id.","Each is a request any client can send, and the revision that removed them is the one the server negotiated. A server still answering them retains a surface the revision deleted.","Five legs, each pinning the protocol header to the revision under test. The DELETE deliberately carries no session id: one that did would end the live session and starve every check registered after it. The session-id legs read the response headers rather than the transport's own field, which cannot tell a header the server minted from one the request carried.","Whether a streamed response is scoped to its originating request, which needs a second identity. Any server on an older revision reports REVISION_UNSUPPORTED rather than a verdict, because the recommendation grades a surface only this revision removed. The Last-Event-ID leg is near-vacuous on a pass: resumption changes stream replay rather than whether a POST returns a result, so a resumption-supporting server also passes it."
5.3.1,Logs are separated from the protocol stream in stdio mode,L1,Automated,NOT_APPLICABLE,StdioLogSeparation,Nothing. Reports NOT_APPLICABLE with the detected transport recorded as evidence.,"Transport mismatch rather than a missing capability: the recommendation governs stdio, and this probe speaks HTTP to a remote endpoint and never launches a server process.",Not probed.,The whole recommendation.
5.4.1,Path traversal and arbitrary filesystem access are prevented,L1,Automated,Decidable where a control resource exists,PathTraversalPrevented,That a resource read escaping an approved root is denied.,The read and its refusal are both on the wire. A server that serves a path outside its declared root has failed observably.,"Traversal candidates are derived from an operator-supplied root or, absent one, from the first resource the server advertises. That control is read first: without contents from it, a traversal denial cannot be attributed to path confinement rather than to the server refusing reads generally. Where neither a root nor an advertised resource exists, the check records UNKNOWN and sends nothing, because a traversal string built against an unknown root tests neither the root nor the server.","The symlink path, which needs filesystem write access on the server to stage and is guarded independently of the traversal path. Applying the same probe to every path-taking tool is excluded on side-effect grounds. A single-segment control URI yields no traversal to build, so it records UNKNOWN rather than a pass. A denial also does not prove the boundary is enforced below the protocol, only that this read was refused."
5.5.1,"Authorization, scope, and expiry controls are enforced on MCP Tasks",L2,Manual,NOT_APPLICABLE,TaskAuthorization,Nothing. Reports NOT_APPLICABLE with the reason recorded as evidence.,"Cross-identity retrieval needs a second identity's bearer token, which the probe cannot mint, and the enumeration method the audit reads was removed in this revision.",Not probed.,The whole recommendation.
5.6.1,Idempotency keys are required for side-effecting tool calls,L2,Manual,NOT_APPLICABLE,IdempotencyKeys,Nothing. Reports NOT_APPLICABLE with the reason recorded as evidence.,"Every wire leg requires deliberately executing a side-effecting tool, and no wire observation identifies a reversible one. Separately, the idempotency header and the cached-result indicator are conventions this recommendation defines rather than MCP specification fields, so a FAIL against a server that never adopted them would be unearned.",Not probed.,The whole recommendation.
